Name,Description,Status,Priority,Due Date,Tags,Assignee
"Adicionar limpeza de cache no logout","- logout() limpa cache do QueryClient
- Implementar setQueryClient() para passar instância
- Adicionar logs de confirmação
- Resolver dados em cache após logout",Done,Medium,2025-11-08,frontend;auth;bugfix,
"Corrigir logout assíncrono","- handleLogout aguarda logout() antes de redirecionar
- logout() limpa localStorage manualmente
- Adicionar logs de debug em PrivateRoute
- Resolver acesso ao menu após logout",Done,High,2025-11-08,frontend;auth;bugfix,
"Corrigir proteção de rotas privadas","- PrivateRoute bloqueia acesso não autenticado
- Corrigir inicialização de useAuthStore
- Ajustar checkAuthStatus e isLoading
- Adicionar barras nas rotas públicas
- Resolver acesso indevido à rota raiz",Done,High,2025-11-08,frontend;auth;security,
"Corrigir fluxo de autenticação com Zustand persist","- api.gateway.ts lê token de 'auth-storage'
- Login salva token antes de /auth/me
- Aguardar sincronização do persist
- Atualizar fallback de erro 401/403
- Resolver erro 403 em /auth/me e /auth/logout",Done,Critical,2025-11-08,frontend;auth;bugfix,
"Corrigir configuração de chunks Vite para Material-UI","- Remover chunk 'mui-utils' separado
- Integrar @emotion/react no chunk 'mui-core'
- Evitar dependências circulares
- Resolver erro 'Z is not a function'
- Otimizar build para 15 chunks",Done,High,2025-11-08,frontend;build;performance,
"Adicionar componentes UI reutilizáveis","- Integrar Storybook com Chromatic
- Criar componentes: AnimatedButton, AnimatedList, AnimatedPage, EmptyState, ErrorBoundary, FormSection, LoadingState, PageHeader, SearchBar, StandardTable, SuspenseWrapper, VirtualizedTable
- Adicionar stories para cada componente
- Refatorar páginas removendo estilos inline
- Criar hooks useAdmin e usePatients
- Nova store de autenticação",Done,Medium,2025-11-08,frontend;component;ui,
"Implementar toggle de status de usuários com confirmação","- Substituir Switch por botões com ícones
- Adicionar diálogo de confirmação
- Exibir mensagem contextual
- Implementar estado de carregamento por linha
- Adicionar exportação CSV de logs de auditoria",Done,Medium,2025-11-08,frontend;feature;ux,
"Adicionar alternância ativar/desativar usuários","- Adicionar método toggleUserStatus no adminService
- Inserir Switch na tabela de usuários
- Estado de carregamento por linha
- Atualização otimista do estado local",Done,Medium,2025-11-08,frontend;feature,
"Integrar auditoria e organizar campos médicos","- Adicionar DTOs de auditoria
- Método getAuditPerfis no adminService
- Integrar AuditLogPage com dados reais
- Mapear tentativas de login
- Mover campos tratamento e diagnóstico
- Remover imports não usados",Done,Medium,2025-11-08,frontend;feature;refactor,
"Integrar API de log de auditoria","- Adicionar DTOs em admin.dto.ts
- Criar método de serviço em admin.service.ts
- Atualizar AuditLogPage com dados reais da API
- Mapear respostas para estrutura de tabela",Done,Medium,2025-11-08,frontend;api;integration,
"Melhorias de acessibilidade sidebar","- Adicionar tooltips na navegação
- Melhorar feedback visual
- Adicionar seta para direita para abrir sidebar",Done,Medium,2025-11-06,frontend;accessibility;ux,
"Atualizar sidebar e criar tela de auditoria","- Sidebar com seta para direita para abrir
- Criar tela de auditoria inicial",Done,Medium,2025-11-05,frontend;feature;ui,
"Adicionar atalhos de teclado e melhorias de acessibilidade","- Atalhos de teclado globais e modal de ajuda
- Indicador de força de senha
- Componentes de estado vazio
- Estilos de foco mais claros
- Validação de CPF em tempo real
- Feedback de carregamento aprimorado
- Navegação por breadcrumbs
- Tooltips para campos e ações
- Aviso de alterações não salvas
- Suporte Ctrl+S para salvar
- Refatorar estados vazios das tabelas",Done,High,2025-11-05,frontend;accessibility;ux;feature,
"Alterar página de sessões","- Modificar endpoint de sessões
- Incluir nome e CPF nos dados exibidos",Done,Low,2025-11-04,frontend;feature,
"Adicionar configuração inicial do Vercel","- Configurar vercel.json
- Adicionar rewrites para SPA",Done,Low,2025-11-04,devops;deployment,
"Corrigir bug dataNascimento em UserEdit","- Resolver problema de data de nascimento
- Corrigir formatação e validação",Done,Medium,2025-11-04,frontend;bugfix,
"Atualizar estilos de toast e refatorar utilidade","- Substituir CSS/JS antigos por nova implementação
- Atualizar lógica em src/utils/toast.ts
- Modificar App.tsx para novo toast
- Ajustar testes e referências",Done,Medium,2025-11-04,frontend;refactor;ui,
"Implementar biblioteca toast na aplicação","- Integrar biblioteca toast
- Alterar notificações de login
- Melhorar feedback visual",Done,Medium,2025-11-03,frontend;feature;ux,
"Mudanças de acessibilidade 01","- Melhorias iniciais de acessibilidade
- Conformidade com WCAG",Done,Low,2025-11-03,frontend;accessibility,
"Atualizar página PatientEdit","- Modificar src/pages/PatientEdit/index.tsx
- Atualizar assets de build
- Atualizar referências em dist/index.html",Done,Low,2025-11-01,frontend;feature,
